pw_number,version,disaster_name,applicant_name,applicant_abbreviation,applicant_type,FEMA_branch,sector,category,pw_description,obligated_date,latest_payment _date,obligated_amount,disbursed_amount,cost_share,project_cost,last_update_date
PA-02-PR-4339-PW-07636,0,Hurricane Maria (4339),Cabo Rojo, ,Municipality,Branch IV - South,Municipalities,"Category G - Parks, Recreational, Others",95712 - MCAB027 - Boqueron Revitalization Village,09/19/2021,,422640,0,46960,469600,06/20/2023
PA-02-PR-4339-PW-07637,0,Hurricane Maria (4339),Humacao,,Municipality,Branch III - East,Municipalities,"Category G - Parks, Recreational, Others",91185 - MHUM014 Jacinto Hernandez Complex,01/28/2021,,281969,0,31330,313299,06/20/2023
PA-02-PR-4339-PW-07638,0,Hurricane Maria (4339),Quebradillas,,Municipality,Branch II - North,Municipalities,"Category G - Parks, Recreational, Others",94943 - MQU0022 Damaged Recreational Facilities Las,02/09/2021,,214418,0,23824,238242,06/20/2023
PA-02-PR-4339-PW-07639,0,Hurricane Maria (4339),Río Grande,,Municipality,Branch III - East,Municipalities,"Category G - Parks, Recreational, Others",105754 - MRIO017 - La Dolores Recreational Facilities,10/26/2021,05/14/2023,225875,56469,25097,250972,06/20/2023
PA-02-PR-4339-PW-07661,0,Hurricane Maria (4339),Toa Baja,,Municipality,Branch III - East,Municipalities,"Category G - Parks, Recreational, Others",98201 - MTBM046 Recreational Parks,05/24/2021,,1334116,0,148235,1482351,06/20/2023
PA-02-PR-4339-PW-07661,2,Hurricane Maria (4339),Toa Baja,,Municipality,Branch III - East,Municipalities,"Category G - Parks, Recreational, Others",98201 - MTBM046 Recreational Parks,03/01/2023,,9947,0,1105,11052,06/20/2023
PA-02-PR-4339-PW-07663,0,Hurricane Maria (4339),Las Piedras,,Municipality,Branch III - East,Municipalities,"Category G - Parks, Recreational, Others",104417 - MLAP058-Rotunda Fountain (Item #43)-Triangle,05/24/2021,,243478,0,27053,270531,06/20/2023
PA-02-PR-4339-PW-07673,0,Hurricane Maria (4339),Arecibo,,Municipality,Branch II - North,Municipalities,"Category G - Parks, Recreational, Others",83233 - MARE031 - CANCHA CALICHOSA Y PARQUE PASIVO,02/08/2021,02/25/2021,11567,11567,1285,12852,06/20/2023
PA-02-PR-4339-PW-07674,0,Hurricane Maria (4339),Arecibo,,Municipality,Branch II - North,Municipalities,"Category G - Parks, Recreational, Others",85319 - MARE060 - PARQUE ATLETICO FACTOR II,02/02/2021,,428085,0,47565,475650,06/20/2023
PA-02-PR-4339-PW-07675,0,Hurricane Maria (4339),Manatí,,Municipality,Branch II - North,Municipalities,"Category G - Parks, Recreational, Others",107752 - P107752-DR4339PR-MANATI-CANCHA BALONCESTO,07/07/2021,,170751,0,18972,189723,06/20/2023
PA-02-PR-4339-PW-07676,0,Hurricane Maria (4339),Arecibo,,Municipality,Branch II - North,Municipalities,"Category G - Parks, Recreational, Others","108510 - PARQUE PASIVO URB. ARECIBO GARDENS,P LAZA",03/18/2021,,293790,0,32643,326433,06/20/2023
PA-02-PR-4339-PW-07679,0,Hurricane Maria (4339),Caguas, ,Municipality,Branch III - East,Municipalities,"Category G - Parks, Recreational, Others",108113 - MCAG111 - La Jurado Recreational Facilities,01/14/2021,01/28/2021,60788,60788,6754,67542,06/20/2023
